Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,PE,Beta
CYC,UpCom,2.4,0.0,12.5,0.0,0.0,-0.153398399635788,-0.290924354071449
D11,HNX,13,-1.54,0.0,-0.65,-4.03,4.60814953193442,0.00451977401129944
D2D,HSX,24.8,-2.22,-0.19,1.85,-3.47,41.0499225920019,0.21285327861207
DAC,UpCom,7.4,0.0,0.0,0.0,0.0,-2.20798272335499,0.425610076095513
DAD,HNX,19.7,-9.05,-4.31,-0.51,-8.26,9.713400286294,0.147313995267724
DAE,HNX,17.3,-0.57,9.4,-18.14,-28.17,11.1672043215913,0.292049991320951
DAG,HSX,3.18,-5.78,1.08,0.19,-7.32,0,0.299972017535678
DAH,HSX,3.97,-1.6,0.43,0.0,-6.92,51.1165017054394,0
DAN,UpCom,28,8.95,0.0,0.34,-2.38,9.25655467797284,0
DAS,UpCom,9.5,0.0,0.0,0.0,0.0,0,0
DAT,HSX,9.79,3.37,1.41,-0.46,-1.4,10.5883579727622,0
DBC,HSX,19.5,-6.96,1.83,0.58,-7.28,48.4165366818411,0.84252037507668
DBD,HSX,58.9,-1.18,0.35,0.0,-1.55,17.7698087500632,0
DBM,UpCom,33,0.0,0.0,-11.02,-4.9,8.85686054636624,-0.128053828234796
DBT,HSX,12,6.09,0.0,1.47,0.0,12.2844247234166,0.460373847585215
DC1,UpCom,6.8,-15.0,4.55,-9.61,-14.13,0,0
DC2,HNX,4.6,0.0,0.0,-2.04,-4.76,26.7897560303339,0.916067561715028
DC4,HSX,9.9,-3.05,2.44,-0.47,-7.25,-432.949515945091,0.307812371642159
DCF,UpCom,90.8,0.0,0.0,0.0,0.0,183.193314510092,0
DCG,UpCom,18.7,0.0,0.0,-8.51,-8.51,0,0
DCH,UpCom,10.1,0.0,0.0,0.0,-1.22,0,0
DCL,HSX,22.8,-0.44,0.22,1.85,-0.84,16.6322395960976,0.697882660199608
DCM,HSX,29.3,0.0,1.15,0.0,-0.68,9.00757007816042,0
DCR,UpCom,6.3,0.0,0.0,15.0,0.0,0,0
DCS,UpCom,0.6,0.0,-16.67,0.0,0.0,54.4658620871385,0.748751204977653
DCT,UpCom,0.7,0.0,0.0,0.0,0.0,-0.200969902787128,-0.0322731088517862
DDG,HNX,6.1,-5.0,1.49,0.0,0.25,-4.49419749096726,0
DDH,UpCom,16.5,0.0,0.0,-14.91,-0.22,0,0
DDM,UpCom,1.2,0.0,0.0,0.0,0.0,-0.590084645064176,-0.0574026861513391
DDN,UpCom,8.9,-2.56,4.82,1.11,-8.29,11.8387815346822,0.0142560113971084
DDV,UpCom,9.2,-3.37,0.89,1.7,-18.31,27.6840479476797,0
DFC,UpCom,18,0.0,-0.52,1.16,-26.7,13.5988266780849,0
DFF,UpCom,9.9,0.0,-1.01,-1.08,-3.13,59.002010466498,0
DGC,HSX,85.8,-3.07,2.15,-0.81,-0.85,9.10547668501756,0.452019980720358
DGT,UpCom,5.2,-1.96,0.0,14.13,0.0,719.639213153088,0.036873254739009
DGW,HSX,46.8,-6.97,5.45,0.36,-6.91,0,0
DHA,HSX,44.1,-6.52,-0.41,5.97,-3.11,10.0105070927158,0.393246898610204
DHB,UpCom,7,0.0,0.0,0.0,0.0,1.26935689425305,0
DHC,HSX,41.55,-2.18,-0.67,0.37,-1.2,12.1080000301556,0.876970431862699
DHD,UpCom,22.5,0.0,0.0,-12.73,-28.99,21.3721100641182,0
DHG,HSX,103.6,-1.48,0.69,-0.67,-1.18,14.2469050981873,0.143083667568324
DHM,HSX,7.37,-2.0,-0.75,0.0,0.0,-273.231330829824,1.0644529428225
DHN,UpCom,24.2,0.0,0.0,0.0,-7.85,0,0
DHP,HNX,12.1,0.0,0.0,0.0,-7.84,9.25308734600133,0.253790202436246
DHT,HNX,21.8,-0.94,0.0,-0.36,-65.56,41.0842232411681,0.362410785091197
DIC,UpCom,1.6,0.0,0.0,0.0,0.0,-1.06965888308515,0.817274507975002
DID,UpCom,4.4,-6.82,0.0,7.02,-14.71,238.182428905493,0.177197441065638
DIG,HSX,22.3,-0.25,2.29,-0.93,-6.93,230.297215364802,1.21397257718496
DIH,HNX,25.8,1.22,4.29,-0.85,0.0,5.77327453818316,0.406197432492253
DKC,UpCom,1.3,0.0,0.0,0.0,0.0,0,0
DL1,HNX,3.8,0.0,0.0,1.75,-9.68,12.9470461959276,-0.513189028130751
DLD,UpCom,5.4,0.0,0.0,0.0,0.0,-15.7835677759394,0
DLG,HSX,2.09,6.84,-0.4,3.55,-7.5,-1.70522129478625,1.34754220688369
DLR,UpCom,8.5,0.0,0.0,0.0,0.0,19.160651660789,-0.348610989396197
DLT,UpCom,17.1,0.0,0.0,0.0,0.0,6.33872319313852,0
DM7,UpCom,23,0.0,0.0,0.0,-9.12,6.15759751459924,0
