Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,EPS,PE,Beta
BTG,UpCom,9.5,0.0,0.0,0.0,0.0,2.94928817668134,2.94986433295562,0.0173629489603025
BTH,UpCom,15.1,0.0,-13.41,0.0,12.3,Infinity,0,-0.36955569187626
BTN,UpCom,3.3,0.0,0.0,0.0,4.26,1.29521288693896,2.77946585947586,0
BTP,HSX,13.4,0.0,-1.11,1.29,2.76,1.80023396648795,8.19337945765769,0.633056617852812
BTS,HNX,0,-3.18,0.0,-3.31,-8.08,-0.198000497968912,-30.3029540912673,1.02997108053632
BTT,HSX,29.5,0.0,0.0,0.0,-3.96,3.20932246217387,9.83073541903586,0.050834810185617
BTU,UpCom,11.7,-4.55,0.0,0.0,-6.99,1.81555539170394,6.6095477201264,0
BTV,UpCom,10,0.0,13.21,0.0,0.0,0.901959686987763,10.310882109442,0
BTW,HNX,0,9.23,9.57,-2.11,-6.76,5.66128981721917,6.71225131142741,0.0308029955913213
BVB,UpCom,10.3,0.0,2.94,0.0,-14.54,0.754597091993789,13.3846261894727,0
BVG,UpCom,2.5,8.7,8.0,3.45,0.0,-1.38496284412551,-1.44408206218906,1.02182104986417
BVH,HSX,40.6,1.15,0.48,-0.42,0.77,1.95764593943963,20.7391945509931,1.06799738830333
BVL,UpCom,13,2.76,-2.0,7.51,0.0,2.35399759592971,5.18267309240035,0
BVN,UpCom,13.8,7.76,0.0,-14.47,0.0,0,0,0.0589587546262734
BVS,HNX,0,-0.05,-8.34,-9.35,-13.4,2.65785574514124,9.14270838228231,0.870826395583209
BWA,UpCom,8.1,0.0,0.0,0.0,-4.09,-3.55222222222222E-07,-18861432.593056,0.312188360318041
BWE,HSX,43.65,-0.9,-0.54,0.11,-0.91,3.59838623998537,13.1725714914341,0
BWS,UpCom,29,0.0,-3.16,-3.52,-5.17,2.27025761900888,12.1258233703269,0
BXH,HNX,0,-100.0,0.0,-9.93,-2.0,0.659997607721013,22.8439056453311,0.388835334326527
C12,UpCom,3.6,0.0,0.0,0.0,0.0,0.518838937100619,6.93856945301284,0
C21,UpCom,12.2,-0.85,-12.0,-0.76,0.0,0.720275564985139,18.7428265739912,0.0432795448185804
C22,UpCom,12,0.0,0.0,0.0,-7.74,0,0,0
C32,HSX,17.2,1.48,-1.16,-0.52,-0.24,1.20833545176971,15.3930764613078,0.203059416099244
C47,HSX,6.39,-2.05,0.14,1.5,-0.23,0.31055734791684,23.4739253439017,0.18421789012219
C4G,UpCom,10.7,0.94,0.79,3.86,-0.55,0.434847514846424,33.5749877865953,0
C69,HNX,0,-6.93,1.35,0.0,-4.14,0.334172744437677,27.2314249186086,0
C92,UpCom,3.5,0.0,5.56,0.0,0.0,0.166619137308448,22.8065038709532,-0.189378669704671
CAB,UpCom,12.7,0.0,0.0,6.29,-6.64,0.710679557425356,18.1516407292395,0
CAD,UpCom,0.6,16.67,0.0,14.29,0.0,-2.5569674313693,-0.312870625642497,0.0697110293976089
CAG,HNX,0,0.0,0.0,0.0,-6.85,0.264225106449109,31.0341439925935,0
CAN,HNX,0,-100.0,0.0,0.0,-8.33,2.3067496068925,29.0451984037652,-0.508281482779774
CAP,HNX,0,1.14,-0.13,-0.27,-25.56,Infinity,0,0.0280308947322746
CAR,UpCom,32.7,-0.62,0.32,0.63,-1.35,0,0,0
CAT,UpCom,15.9,0.63,-5.38,-5.97,-9.1,0,0,0
CAV,HSX,66.6,0.0,0.0,-0.76,0.0,5.67287182726539,12.3537229074193,0.465435914118413
CBI,UpCom,6.1,0.0,2.82,1.43,7.14,0.180254951697151,43.8268126651683,0
CBS,UpCom,30,0.68,0.59,-0.52,-38.32,0,0,0
CC1,UpCom,12.3,0.0,-1.36,-10.77,-6.78,0.532461332173725,32.2674878099284,0
CC4,UpCom,14,0.0,0.0,-14.48,0.0,0.210718440920175,66.4393678069378,0
CCA,UpCom,15.2,0.0,-5.17,-6.19,-5.01,0.457127270614059,31.719831504522,0
CCI,HSX,23.3,6.86,-2.98,0.0,-0.75,1.55856744607221,13.9872034764609,0.138793023038896
CCL,HSX,6.31,4.0,2.2,3.07,-4.04,1.09434771753043,6.70719176585286,0.69359201567018
CCM,UpCom,42.4,-3.85,0.0,11.14,-4.04,7.31305843498089,5.05944268447469,0.0735626194198367
CCP,UpCom,30.1,0.0,39.53,0.0,0.0,0,0,0
CCR,HNX,0,0.0,1.8,-2.5,-4.33,0.501796530543199,23.3162233850733,0
CCT,UpCom,8.9,0.0,0.0,0.0,0.0,0.0350039344452247,339.961783970928,0
CCV,UpCom,34,0.0,0.0,0.0,-17.39,0,0,0
CDC,HSX,20.2,0.5,0.26,0.0,0.0,0.568110926234015,35.204392445995,0.952989459938439
CDG,UpCom,2.5,0.0,0.0,0.0,-24.24,0,0,0
CDH,UpCom,2.1,0.0,0.0,0.0,-19.23,0,0,0
CDN,HNX,0,-0.58,-0.78,0.0,-7.86,2.65524799708857,9.9049128476276,0
CDO,UpCom,1.2,-7.69,0.0,0.0,0.0,-0.286926074447918,-4.53078376547466,0
CDP,UpCom,10.4,0.0,0.0,-5.12,-6.04,1.22919149048995,9.27438896884652,0
CDR,UpCom,4.9,11.76,0.0,0.0,-15.1,0,0,0
CE1,UpCom,9,-10.0,0.0,0.0,0.0,0,0,0
CEG,UpCom,7,6.06,0.0,13.56,-21.74,0,0,0
CEN,UpCom,4.9,0.0,-2.86,1.45,0.0,-0.0466654948934021,-165.004143159503,0
CEO,HNX,0,4.71,0.51,3.11,-25.23,0.850639536441389,31.1530311780023,0.972745596354395
CET,HNX,0,-100.0,-2.38,0.0,2.94,0.164220604173091,52.9775179174842,0
CFM,UpCom,8.8,0.0,0.0,0.0,0.0,0,0,0
CFV,UpCom,28,0.0,0.0,5.71,0.0,0.289280774580039,44.939038962657,0
CGV,UpCom,2.8,-10.71,0.0,0.0,0.0,0,0,0
CH5,UpCom,13.5,0.0,0.75,0.0,-15.12,0,0,0
CHC,UpCom,3.6,0.0,0.0,0.0,-10.34,0,0,0
CHP,HSX,24,0.0,0.0,0.0,-0.2,2.56615754299743,9.13817628383369,0.402243449303304
CHS,UpCom,10.1,1.03,0.0,-3.0,-8.5,1.03580681996782,9.46122366746381,0
CI5,UpCom,8,0.0,0.0,0.0,0.0,0,0,0.0459349671755578
CIA,HNX,0,-0.61,1.01,0.0,-1.03,4.11057233178866,2.60304384312927,0
CID,UpCom,9.4,0.0,12.99,0.0,0.0,-0.0960291668866234,-98.9282767725784,-0.0334764700727368
CIG,HSX,6,0.82,-0.75,2.48,-1.19,0.360271779026512,20.3179944312578,0.392951945080092
CII,HSX,15.55,2.72,1.08,1.65,1.56,0.212597917146789,109.724382487594,0.633709542020334
CIP,UpCom,3.1,0.0,0.0,-8.57,-5.0,0,0,0
CJC,HNX,0,-100.0,0.0,0.0,0.0,0.3794272596585,67.9972230335297,0.157129085969678
CKA,UpCom,37.6,0.0,0.54,-8.55,-5.29,0,0,0
CKD,UpCom,24,0.0,0.0,-0.35,-0.38,2.98712931933928,8.3022853545174,0
CKG,HSX,21.7,-0.24,0.0,1.29,0.0,1.49787183939532,18.4261425270816,0
CKV,HNX,0,-100.0,0.0,0.0,-8.46,0.525856224277069,24.7215862432208,-0.0577512926123915
CLC,HSX,34.95,2.04,1.01,-0.29,0.0,5.20493297343994,6.71478387490196,-0.239250069956161
CLG,UpCom,0.6,0.0,0.0,0.0,0.0,0.616475390592293,1.29769981447496,0.886950844137674
CLH,HNX,0,1.24,0.0,-0.39,-10.95,4.3633298580579,5.75248739300492,0
CLL,HSX,34.1,-0.15,0.54,1.1,0.6,2.61407696899671,15.8616178800621,0.480458912414887
CLM,HNX,0,-9.03,0.0,0.17,-14.6,11.3948319657753,5.10757860886457,0
CLW,HSX,27.25,0.0,5.73,0.0,0.0,4.56712333166123,7.83207396864061,0.167428411528775
CLX,UpCom,13.9,-2.92,0.0,0.64,1.2,2.02184582376127,7.76518160558508,0
CMC,HNX,0,-5.42,5.08,-1.14,0.0,0.330752849471065,22.0708604980246,0.413110156866182
CMD,UpCom,17.3,-1.71,0.57,-0.54,-15.61,1.93670392680344,9.44904368021006,0
CMF,UpCom,182,0.0,0.0,0.0,-2.78,6.10747593012674,30.7655735609425,0
CMG,HSX,44.45,1.93,0.85,0.41,-4.29,1.5949092608701,30.6600514522831,0.450424400708889
CMI,UpCom,1.9,0.0,0.0,0.0,0.0,-0.827870197002019,-2.53662954362262,1.20681798264832
CMK,UpCom,8.8,0.0,0.0,0.0,-7.37,1.0439089780146,8.42985373757071,0
CMN,UpCom,70,0.0,14.75,0.0,-4.3,0,0,0
CMP,UpCom,8.1,0.0,0.0,0.0,0.0,-0.278319863135837,-29.1032048835361,0
CMS,HNX,0,-2.05,0.0,6.38,2.22,0.0913716306089539,379.767765648253,0.559723074226623
CMT,UpCom,11.3,1.79,0.88,1.6,10.81,3.68923984108429,3.36112601352466,0.128066411715325
CMV,HSX,8.9,-3.71,1.11,0.0,-6.2,0.41784525799758,23.5335757845739,0.248017908777166
CMW,UpCom,9.5,0.0,0.0,0.0,-4.4,0.656680945198489,13.4007238436622,0
CMX,HSX,8.21,1.65,1.46,0.95,-3.29,0.612775618995697,18.6854692730202,1.17908777166309
CNA,UpCom,43.9,0.0,0.0,0.0,0.0,0,0,0
CNC,UpCom,29.5,1.37,0.0,0.0,-3.23,0,0,-0.0961438499894115
CNG,HSX,27.35,1.67,3.1,0.9,-2.06,2.45156719763903,14.0930258951389,0.674750489693126
CNN,UpCom,40.2,0.0,0.0,-2.44,2.82,0,0,0
CNT,UpCom,18.8,10.64,-4.37,0.0,-1.53,4.64917113526561,4.51693417794573,0.456923076923077
COM,HSX,28.15,0.92,0.0,0.0,0.0,0.123773882729862,258.535963276199,0.32310418804216
CPA,UpCom,4.7,0.0,0.0,0.0,0.0,-0.970296729084773,-11.5428607190754,0
CPC,HNX,0,-100.0,-3.21,0.0,-8.59,2.10446782452197,7.65039019005059,0.20629217421786
CPH,UpCom,0.3,0.0,0.0,0.0,0.0,0.0659854288243636,4.54645829154984,0
CPI,UpCom,2.3,0.0,0.0,0.0,0.0,0.168827485878647,15.4003359492594,0
CQN,UpCom,30,0.0,-0.33,0.0,-3.77,1.15554521035082,26.6540847766997,0
CQT,UpCom,10.4,0.0,4.55,-4.19,-6.14,1.34699305207014,8.76025305539996,0
CRC,HSX,5.25,0.76,-2.03,-0.29,0.91,0.78470551964116,8.02848946810128,0
CRE,HSX,7.38,1.81,1.15,6.47,-0.81,-0.0356061654780061,-274.952381661184,0
CSC,HNX,0,1.14,1.02,5.64,-19.53,3.24312539392355,10.8537277238654,0.271842958548769
CSI,UpCom,30.7,-0.34,1.19,0.97,-1.37,0.18955129672619,316.537006268392,0
CSM,HSX,12.1,-2.04,0.0,0.71,0.0,0.673675218359276,19.2229128325953,0.764574200167895
CST,UpCom,15.7,1.97,-1.24,0.55,-7.77,7.10312358242299,2.42146990692408,0
CSV,HSX,36.5,2.16,3.63,0.26,0.42,5.61855706261486,7.20825641684441,0
CT3,UpCom,7.3,0.0,0.0,0.0,0.0,0,0,-0.196792638084054
CT6,UpCom,5.7,0.0,0.0,14.29,-14.06,1.35365598550019,4.21081874645855,0.448847765363128
CTA,UpCom,1.4,0.0,0.0,0.0,0.0,-0.802835072185401,-1.74382017988957,0.926036280781702
CTB,HNX,0,-100.0,-8.18,-7.11,-7.11,3.2668691973968,6.4893935811367,-0.184558759092104
CTC,HNX,0,-6.25,-4.55,-3.33,-5.56,-0.492864887183573,-4.86948870250133,0.543208813909451
CTD,HSX,53.8,6.82,2.82,0.94,-0.24,0.673326740178552,81.4035780488887,-0.0027982464322358
CTF,HSX,29.8,0.34,0.0,0.63,0.0,Infinity,0,0
CTG,HSX,28.25,-0.53,-0.69,0.32,-1.67,3.16212366116978,8.93386945833399,1.03385878183005
CTI,HSX,14.45,2.63,0.98,0.0,1.98,1.27006692129161,13.2276494398539,0.146255013524858
CTN,UpCom,0.7,16.67,0.0,-12.5,0.0,-11.9987507883463,-0.0583394065222083,0.213817190561377
CTP,HNX,0,-1.35,-2.08,-2.13,-2.17,0.0573910470103782,83.6367386559789,0
CTR,HSX,75.2,1.76,1.43,0.28,-2.43,4.17810808642369,20.0329905949475,0
CTS,HSX,22.2,2.76,1.71,1.54,-2.1,1.41335051434483,15.7073562252821,1.02068179826483
CTT,HNX,0,-100.0,0.0,-6.67,-6.67,2.20464471173998,8.43673354756571,0
CTW,UpCom,16,0.0,0.0,0.0,-3.6,1.03302031063092,16.456598021405,0
CTX,HNX,0,0.0,0.0,0.0,0.0,0.0526756662718315,144.279143253365,0.710805363245991
CVN,HNX,0,3.03,0.0,5.26,0.0,0.0348764348783809,103.221559558874,0.956708439225309
CVT,HSX,33,0.0,0.0,-3.07,-0.11,2.55200463438107,15.0665870594413,0.854876873192533
CX8,HNX,0,0.0,-17.36,-19.43,-19.43,0.319045944939971,19.2882757215548,0.460783454561388
CYC,UpCom,2.1,4.76,0.0,0.0,0.0,-16.2974320849221,-0.153398399635788,-0.290924354071449
D11,HNX,0,-0.59,0.0,0.66,0.81,3.1248985954575,4.60814953193442,0.00451977401129944
D2D,HSX,24.8,1.81,1.13,0.0,0.0,0.697930670533886,41.0499225920019,0.21285327861207
DAC,UpCom,7.4,0.0,0.0,0.0,0.0,-3.35147549920854,-2.20798272335499,0.425610076095513
DAD,HNX,0,-100.0,-2.73,0.0,-16.92,2.33697771438809,9.713400286294,0.147313995267724
DAE,HNX,0,2.35,0.0,-20.3,-24.88,1.38799287213108,11.1672043215913,0.292049991320951
DAG,HSX,3.25,0.0,3.0,0.0,-0.24,-Infinity,0,0.299972017535678
DAH,HSX,3.99,-1.55,1.52,0.94,-3.49,0.0982070335902078,51.1165017054394,0
DAN,UpCom,28,0.0,2.04,-2.38,-2.38,2.73319835296869,9.25655467797284,0
DAS,UpCom,9.5,0.0,0.0,0.0,0.0,0,0,0
